pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1656,641778,"Lauer, Eric",1656,100,0.223,0.181,0.251,0.403,0.301,0.319,0.25,85,382,88.4,15.6,2271,88.6,88.22,178,778,878,-0.4,6.15,113,155,120,147,299,320,295
1655,605540,"Woodruff, Brandon",1655,100,0.204,0.177,0.266,0.382,0.281,0.27,0.206,76,372,89.4,15.4,2315,92.1,92.62,250,805,850,0.5,6.58,118,157,122,148,296,318,297
1651,608566,"Márquez, Germán",1651,100,0.253,0.221,0.284,0.474,0.348,0.345,0.266,102,403,92.2,10.2,2243,91.2,90.23,185,783,868,-1,5.54,118,153,119,149,304,330,304
1637,660271,"Ohtani, Shohei",1637,100,0.207,0.119,0.306,0.326,0.258,0.259,0.209,80,386,87.1,13,2227,88.9,89.56,263,783,854,0.7,6.77,120,156,114,155,295,322,293
1610,608344,"Irvin, Cole",1610,100,0.241,0.163,0.261,0.405,0.302,0.33,0.262,105,435,88.3,16.2,1909,86.3,86.33,166,822,788,0,6.35,117,155,118,150,302,322,294
1605,607536,"Freeland, Kyle",1605,100,0.276,0.196,0.313,0.473,0.357,0.36,0.275,107,387,90.2,12.4,2268,86.5,87.08,137,718,887,0.6,6.52,115,155,121,147,307,331,300
1604,500779,"Quintana, José",1604,100,0.236,0.118,0.289,0.354,0.286,0.301,0.25,88,373,86.3,9.1,1997,86.5,86.81,177,757,847,0.3,6.45,113,156,118,150,306,320,295
1603,592332,"Gausman, Kevin",1603,100,0.29,0.137,0.391,0.427,0.322,0.302,0.261,119,410,89.8,12.6,2007,89.7,89.63,255,886,717,-0.1,6.41,116,166,121,152,297,322,297
1600,621244,"Berríos, José",1600,100,0.287,0.181,0.33,0.469,0.354,0.353,0.277,114,397,90.4,14.1,2128,89,88.93,158,768,832,-0.1,6.38,117,170,120,152,293,321,301
1597,680686,"Gray, Josiah",1597,100,0.241,0.247,0.261,0.489,0.352,0.315,0.213,85,352,86.8,18.7,2236,88.8,87.56,179,700,897,-1.2,5.52,122,158,126,147,302,320,300
1597,664299,"Javier, Cristian",1597,100,0.157,0.141,0.209,0.298,0.247,0.257,0.172,50,319,87.8,23.8,2460,88.2,87.5,242,771,826,-0.7,5.97,121,160,119,151,295,324,293
1582,608337,"Giolito, Lucas",1582,100,0.273,0.171,0.368,0.444,0.341,0.313,0.245,99,363,89,11.3,1964,87.4,88.23,226,726,856,0.8,6.79,115,155,113,151,299,328,298
1572,664353,"Urquidy, José",1572,100,0.251,0.175,0.278,0.426,0.315,0.328,0.261,96,383,90.2,16.5,2301,88.1,87.27,178,821,751,-0.8,5.94,120,160,118,150,296,325,292
1567,542881,"Anderson, Tyler",1567,100,0.241,0.148,0.285,0.389,0.296,0.293,0.237,96,398,85.7,18.3,2150,85.9,85.53,199,806,761,-0.4,6.07,114,156,118,148,301,314,288
1564,592836,"Walker, Taijuan",1564,100,0.231,0.129,0.279,0.36,0.287,0.301,0.236,84,364,89.8,11.8,2040,88.5,87.85,176,710,854,-0.6,5.95,118,160,119,151,300,329,302
1543,677651,"Garcia, Luis",1543,100,0.241,0.181,0.302,0.422,0.318,0.312,0.241,88,365,89.4,17.1,2389,88.1,87.63,211,733,810,-0.5,6.09,120,159,115,151,294,325,294
1519,518516,"Bumgarner, Madison",1519,100,0.268,0.241,0.276,0.508,0.353,0.372,0.289,99,370,90,17.8,2165,87,87.15,120,728,791,0.2,6.54,115,154,122,149,302,322,296
1518,446372,"Kluber, Corey",1518,100,0.249,0.142,0.301,0.391,0.291,0.304,0.256,100,402,87,16.6,2259,85.2,85.24,191,753,765,0,6.39,114,166,115,153,300,325,298
1517,622491,"Castillo, Luis",1517,100,0.188,0.104,0.244,0.293,0.249,0.28,0.22,63,335,88.9,11.2,2232,92.9,91.58,202,716,801,-1.3,5.53,121,156,119,149,293,321,292
1516,453286,"Scherzer, Max",1516,100,0.182,0.119,0.256,0.301,0.235,0.251,0.192,66,362,87.5,20.5,2288,88.3,87.68,238,773,743,-0.6,6.18,120,160,118,151,299,329,301
1503,640455,"Manaea, Sean",1503,100,0.219,0.189,0.245,0.408,0.299,0.3,0.228,82,375,88.9,17.1,1897,88.3,89.52,183,760,743,1.2,7.19,117,159,120,151,302,318,298
1496,624133,"Suárez, Ranger",1496,100,0.262,0.151,0.31,0.413,0.321,0.312,0.255,92,351,87.5,4.9,1879,88.9,88.56,136,652,844,-0.3,6.15,114,153,120,147,302,326,289
1486,641540,"Dunning, Dane",1486,100,0.265,0.201,0.313,0.466,0.352,0.337,0.258,90,339,87.5,3.8,2019,85.3,85.53,153,652,834,0.2,6.56,122,157,121,151,302,324,298
1477,554430,"Wheeler, Zack",1477,100,0.225,0.162,0.279,0.387,0.291,0.285,0.231,79,351,85.9,9.8,2394,92.7,94.33,176,728,749,1.6,7.24,119,152,119,147,295,326,291
1476,657746,"Ryan, Joe",1476,100,0.213,0.136,0.288,0.349,0.288,0.294,0.211,69,324,87.4,21.5,2198,88.1,88.11,209,734,742,0,6.29,118,163,120,153,298,330,295
1472,471911,"Carrasco, Carlos",1472,100,0.278,0.163,0.354,0.441,0.339,0.33,0.263,97,349,89.7,11.1,2116,89.2,89.31,204,750,722,0.1,6.31,118,159,118,150,299,330,303
1453,571578,"Corbin, Patrick",1453,100,0.287,0.193,0.321,0.481,0.355,0.368,0.293,104,362,90.4,11.1,2080,88.5,89.19,137,674,779,0.7,6.75,117,155,122,148,304,321,296
1446,663903,"Singer, Brady",1446,100,0.232,0.126,0.303,0.359,0.286,0.31,0.246,79,340,90.7,8.8,2306,90.2,90.93,149,615,831,0.7,6.67,118,163,119,152,299,326,304
1444,456501,"Cueto, Johnny",1444,100,0.281,0.121,0.325,0.402,0.312,0.304,0.261,102,363,88,12.4,2010,86.9,85.83,128,701,743,-1.1,5.57,115,156,114,151,296,323,296
1424,502171,"Cobb, Alex",1424,100,0.246,0.072,0.329,0.318,0.279,0.28,0.236,82,333,88.9,0.2,1954,90.8,90.15,155,620,804,-0.7,5.87,117,156,120,149,299,324,297
1418,605200,"Davies, Zach",1418,100,0.239,0.185,0.256,0.424,0.323,0.331,0.247,75,314,86,11.3,2008,84.8,84.17,125,571,847,-0.6,5.98,118,155,122,150,302,323,299
1408,656876,"Rasmussen, Drew",1408,100,0.218,0.149,0.254,0.367,0.266,0.283,0.236,79,362,89.4,10.2,2490,90.3,90.41,178,755,653,0.1,6.47,114,158,112,152,302,327,299
1397,656605,"Keller, Mitch",1397,100,0.268,0.131,0.332,0.398,0.327,0.338,0.273,84,314,88.7,8,2417,90.1,90.06,128,609,788,0,6.32,114,157,118,153,305,324,300
1387,605483,"Snell, Blake",1387,100,0.214,0.166,0.284,0.38,0.287,0.272,0.202,63,295,90.2,17.2,2360,91.1,91.63,205,652,735,0.5,6.74,117,158,119,150,300,320,299
1364,593423,"Montas, Frankie",1364,100,0.251,0.15,0.311,0.401,0.307,0.305,0.242,82,327,87.4,10.5,2160,92.2,91.61,192,696,668,-0.6,5.92,119,160,123,148,293,319,295
1364,668881,"Greene, Hunter",1364,100,0.217,0.197,0.265,0.414,0.313,0.316,0.227,64,295,88.9,17.6,2338,94.1,94.23,206,654,710,0.1,6.38,124,156,123,148,293,319,294
1345,605164,"Bundy, Dylan",1345,100,0.253,0.178,0.261,0.431,0.314,0.325,0.265,88,348,88.2,15.2,2140,83.4,82.61,141,696,649,-0.8,5.82,117,161,119,152,298,329,295
1345,663738,"Lynch, Daniel",1345,100,0.304,0.128,0.392,0.432,0.355,0.339,0.277,90,296,91.5,9.8,2015,89.2,90.2,165,644,701,1,6.84,113,156,118,149,306,325,299
1342,663776,"Sandoval, Patrick",1342,100,0.235,0.094,0.312,0.329,0.291,0.314,0.245,73,310,88,11,2120,87.3,86.89,209,650,692,-0.4,6.06,116,154,116,151,297,322,290
1341,607200,"Fedde, Erick",1341,100,0.295,0.166,0.335,0.461,0.352,0.329,0.276,87,295,88.2,11.7,2065,87.2,87.72,109,568,773,0.5,6.56,120,159,126,147,301,320,299
1340,641771,"Kuhl, Chad",1340,100,0.28,0.191,0.312,0.471,0.352,0.336,0.271,91,325,90.1,15.2,2301,88.4,88.64,130,581,759,0.2,6.38,118,153,118,148,306,332,303
1337,641816,"Mahle, Tyler",1337,100,0.213,0.15,0.266,0.362,0.282,0.274,0.21,61,287,87.9,16.6,2226,89.2,89.71,165,614,723,0.5,6.59,123,158,120,149,292,321,293
1336,573186,"Stroman, Marcus",1336,100,0.231,0.13,0.266,0.36,0.294,0.316,0.254,71,308,88.6,2.8,2370,89.3,88.67,115,579,757,-0.6,5.75,115,154,119,159,300,321,294
1321,622072,"Wood, Alex",1321,100,0.247,0.135,0.313,0.382,0.295,0.295,0.24,75,304,88.7,7.6,1996,88.6,88.45,142,612,709,-0.1,6.23,115,155,118,149,300,323,293
1319,664062,"Gonsolin, Tony",1319,100,0.185,0.135,0.218,0.32,0.251,0.287,0.23,56,303,89.2,14.5,2158,87.9,87.5,169,643,676,-0.4,5.97,118,161,122,150,296,316,295
1293,664141,"Brubaker, JT",1293,100,0.273,0.168,0.341,0.441,0.338,0.341,0.276,88,322,90.5,9.4,2426,89,87.9,156,588,705,-1.1,5.64,114,156,117,151,303,322,300
