pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
299,622694,"Hernandez, Elieser",299,100,0.208,0.222,0.226,0.431,0.291,0.267,0.185,15,72,86.7,19.9,2068,86,85.93,44,151,148,-0.1,6.59,99,146,117,148,295,314,296
292,656657,"Logue, Zach",292,100,0.289,0.368,0.267,0.658,0.414,0.411,0.295,22,76,86.9,18.8,2084,85.9,84.71,35,147,145,-1.2,5.62,99,147,115,146,298,319,291
292,670912,"Oviedo, Johan",292,100,0.259,0.017,0.341,0.276,0.313,0.297,0.214,15,58,87.5,7.3,2408,89.7,91.28,33,141,151,1.6,7.18,99,150,112,146,299,323,293
280,665871,"Assad, Javier",280,100,0.192,0.038,0.233,0.231,0.273,0.301,0.229,10,52,84.9,19.8,2090,89.6,90.08,27,125,155,0.5,6.59,100,150,113,149,299,320,292
278,592826,"Velasquez, Vince",278,100,0.254,0.222,0.277,0.476,0.349,0.391,0.294,16,63,91.8,22.1,2341,89.1,89.67,43,142,136,0.6,6.66,98,145,109,143,300,326,300
276,641726,"Jefferies, Daulton",276,100,0.329,0.143,0.379,0.471,0.354,0.295,0.265,23,70,87.2,6.9,1977,88.8,87.8,30,130,146,-1,5.95,101,146,117,144,295,315,294
274,693821,"Elder, Bryce",274,100,0.242,0.129,0.264,0.371,0.324,0.351,0.274,15,62,84.8,8.7,2137,87.7,86.95,25,125,149,-0.7,5.86,102,151,114,148,308,326,298
268,686752,"Pepiot, Ryan",268,100,0.182,0.236,0.188,0.418,0.31,0.322,0.201,10,55,89.7,24.1,2482,90.4,91.07,39,125,143,0.7,6.72,98,149,119,147,295,317,294
264,675921,"Howard, Spencer",264,100,0.393,0.377,0.404,0.77,0.502,0.422,0.338,24,61,93.8,14.5,2081,88.5,88.57,20,124,140,0.1,6.47,104,151,115,147,301,320,295
263,672578,"Hernández, Carlos",263,100,0.439,0.258,0.431,0.697,0.494,0.418,0.331,29,66,90.7,13.8,2079,87.8,88.47,33,133,130,0.7,6.65,97,147,113,143,303,325,304
262,686610,"Waldichuk, Ken",262,100,0.273,0.273,0.324,0.545,0.375,0.371,0.275,15,55,89,12.9,2230,88.3,89.19,30,128,134,0.9,7,105,147,111,147,301,322,294
260,571927,"Matz, Steven",260,100,0.333,0.254,0.415,0.587,0.407,0.338,0.287,21,63,89.1,20,2284,88.9,84.64,40,139,121,-4.3,6.44,102,151,119,144,294,320,295
259,674072,"Henry, Tommy",259,100,0.353,0.176,0.382,0.529,0.401,0.344,0.288,24,68,89.5,13.1,2115,87.6,87.99,26,132,127,0.4,6.53,98,149,118,146,300,321,294
254,501381,"Pineda, Michael",254,100,0.311,0.246,0.313,0.557,0.385,0.373,0.298,19,61,92.1,16.5,1900,86.9,86.64,22,129,125,-0.3,6.19,99,151,110,141,298,328,294
